01302
01408
05205
05206
02201
05204
05305
05404
01305
02305
06101
06201
06302
TE402
TE403
01211
01303
01409
06401
TE503
05101
06402
01SC3
05402
05406
06502
05201
05202
05301
06202
0124B
01403
02303
05203
05403
0118A
01SC1
TE301
0118B
01206
02302
01SC4
05303
0118C
01205
01SC5
06301
06403
01120
02406
01218
01204
01216
TE401
01402
01207
01404
02301
05302
05304
05306
05405
05103
TE601
TE603
05501
01407
05401
02205
06203
01304
01413
TE501
02203
0124A
02403
02405
01306
02202
02401
06303
01217
TE302
TE602
02402
02502
02501
02204
TE502
01406
06501
02104
02102
02306
02103
01415
02404
